Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Chinatown,7.43,37.79,1999,2.25,3,5,60,60,12,Strategy
Lords of Hellas,7.68,79.96,2018,3.34,1,4,60,90,14,Strategy
BattleLore: Second Edition,7.68,64.31,2013,2.71,2,2,45,90,14,Strategy
Dungeon Lords,7.36,91.6,2009,3.57,2,4,90,90,12,Strategy
Tekhenu: Obelisk of the Sun,7.73,54.45,2020,4.06,1,4,60,120,14,Strategy
Skull King,7.51,16.99,2013,1.69,2,8,30,30,8,Family
Barenpark,7.3,44.99,2017,1.66,2,4,30,45,8,Family
Sid Meier's Civilization: The Board Game,7.38,48.23,2010,3.9,2,4,120,240,13,Strategy
Mission: Red Planet (Second Edition),7.41,26.67,2015,2.21,2,6,45,90,14,Strategy
Letters from Whitechapel,7.35,80,2011,2.64,2,6,90,90,14,Strategy
Dixit,7.21,49.97,2008,1.2,3,8,30,30,8,Party
Imperium: Classics,7.72,42.99,2021,3.57,1,4,60,120,14,Strategy
Innovation,7.29,18.5,2010,2.76,2,4,45,60,12,Strategy
Harry Potter: Hogwarts Battle,7.38,49.95,2016,2.07,2,4,30,60,11,Family
So Clover!,7.59,24.97,2021,1.1,3,6,30,30,10,Party
Mysterium,7.23,34.99,2015,1.9,2,7,42,42,10,Family
Takenoko,7.22,42.95,2011,1.98,2,4,45,45,8,Family
Gizmos,7.39,39.99,2018,2,2,4,40,50,14,Family
Cloudspire,8.2,156.61,2019,4.36,1,4,90,180,13,Strategy
Star Wars: Armada,7.82,95.99,2015,3.16,2,2,120,120,14,Thematic
Ghost Stories,7.28,45.4,2008,2.9,1,4,60,60,12,Strategy
Hannibal: Rome vs. Carthage,7.78,89.2,1996,3.45,2,2,40,200,12,Strategy
Raiders of Scythia,7.78,46.67,2020,2.72,1,4,60,80,12,Strategy
Agricola: All Creatures Big and Small,7.34,39.99,2012,2.35,2,2,30,30,13,Strategy
Ginkgopolis,7.51,59.67,2012,2.91,1,5,45,45,13,Strategy
The Resistance,7.22,24.99,2009,1.59,5,10,30,30,13,Party
51st State: Master Set,7.61,157.09,2016,2.9,1,4,60,90,14,Strategy
Altiplano,7.48,55.99,2017,3.3,2,5,60,120,12,Strategy
Love Letter,7.52,12.58,2019,1.13,2,6,20,20,10,Family
Furnace,7.43,39.99,2020,2.3,2,4,30,60,12,Strategy
San Juan,7.23,18.88,2004,2.29,2,4,45,60,10,Strategy
Mage Wars Arena,7.58,109.99,2012,3.68,2,2,90,90,13,Strategy
Flamecraft,7.47,49.95,2022,2.21,1,5,60,60,10,Family
Blood Bowl: Team Manager,7.39,30.99,2011,2.33,2,4,60,120,14,Thematic
Newton,7.56,62.99,2018,3.39,1,4,90,90,14,Strategy
Carpe Diem,7.52,17.99,2018,2.51,2,4,45,75,10,Strategy
Abyss,7.32,46.21,2014,2.32,2,4,30,60,14,Strategy
Notre Dame,7.32,43.46,2007,2.74,2,5,45,75,10,Strategy
The Pillars of the Earth,7.27,19.99,2006,2.81,2,4,90,120,12,Strategy
Gugong,7.45,78,2018,3.08,1,5,60,90,12,Strategy
At the Gates of Loyang,7.36,40.83,2009,3.11,1,4,60,120,10,Strategy
Twice as Clever!,7.45,22.69,2019,2.3,1,4,30,30,10,Family
Pandemic: Fall of Rome,7.63,28.99,2018,2.43,1,5,45,60,8,Strategy
Sidereal Confluence,7.78,48,2017,3.53,4,9,120,180,14,Strategy
Project L,7.48,34.99,2020,1.56,1,4,20,40,8,Abstract
Maria,7.98,25.69,2009,3.56,2,3,210,210,14,Strategy
The Godfather: Corleone's Empire,7.53,97.74,2017,2.64,2,5,60,90,14,Strategy
Summoner Wars (Second Edition),8.17,42.46,2021,2.59,2,2,40,60,9,Strategy
Schotten Totten,7.35,15.99,1999,1.7,2,2,20,20,8,Family
Saint Petersburg,7.27,30.23,2004,2.46,2,4,45,60,10,Strategy
Downforce,7.31,39.95,2017,1.73,2,6,20,40,10,Family
Die Macher,7.6,125,1986,4.31,3,5,240,240,14,Strategy
Evolution: Climate,7.51,23.43,2016,2.75,2,6,60,60,12,Strategy
Smartphone Inc.,7.59,45.38,2018,2.76,1,5,60,90,12,Strategy
Endeavor,7.38,57.49,2009,2.91,3,5,90,90,12,Strategy
Turing Machine,7.79,32.51,2022,2.45,1,4,20,20,14,Strategy
Here I Stand,7.88,68.07,2006,4.18,2,6,180,360,12,Strategy
King of Tokyo,7.14,44.99,2011,1.49,2,6,30,30,8,Family
Ticket to Ride: Marklin,7.41,38.56,2006,2.24,2,5,30,60,8,Family
Cat in the Box: Deluxe Edition,7.63,19.99,2022,2.01,2,5,20,40,13,Family
In the Year of the Dragon,7.3,22.99,2007,3.09,2,5,75,100,12,Strategy
Arkham Horror,7.24,57.47,2005,3.58,1,8,120,240,14,Thematic
Tiny Towns,7.24,37.62,2019,2.06,1,6,45,60,14,Abstract
Bruxelles 1893,7.61,51.45,2013,3.59,2,5,50,125,13,Strategy
London (Second Edition),7.52,80.36,2017,2.73,2,4,60,90,14,Strategy
Azul: Stained Glass of Sintra,7.32,34.98,2018,2,2,4,30,45,8,Abstract
San Juan (Second Edition),7.46,29.48,2014,2.08,2,4,45,60,10,Strategy
Unmatched: Robin Hood vs. Bigfoot,7.94,18.12,2019,1.93,2,2,20,20,9,Strategy
Dice Forge,7.23,44.99,2017,1.97,2,4,45,45,10,Family
Civilization,7.49,80,1980,3.65,2,7,360,360,12,Strategy
Codenames: Pictures,7.2,18.74,2016,1.24,2,8,15,15,10,Party
Skull,7.2,15.1,2011,1.11,3,6,15,45,10,Party
Blitzkrieg!: World War Two in 20 Minutes,7.61,27.21,2019,1.93,1,2,20,45,14,Strategy
Firefly: The Game,7.39,79.99,2013,2.95,1,4,120,240,13,Thematic
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.6,46.39,2016,2.19,1,8,60,120,10,Thematic
Sprawlopolis,7.35,11.31,2018,1.85,1,4,15,20,8,Family
Nippon,7.64,51.42,2015,3.78,2,4,60,120,12,Strategy
Space Hulk (Third Edition),7.53,859.11,2009,2.79,2,2,60,60,12,Thematic
Santa Maria,7.48,59.95,2017,3.04,1,4,45,90,12,Strategy
Spartacus: A Game of Blood and Treachery,7.47,34.77,2012,2.73,3,4,120,180,17,Thematic
Sword & Sorcery,7.91,79.9,2017,4.11,1,5,60,90,12,Thematic
Clash of Cultures,7.58,113.47,2012,3.6,2,4,180,240,14,Strategy
King of Tokyo: Dark Edition,7.7,89.99,2020,1.64,2,6,30,30,8,Family
John Company: Second Edition,8.33,104.35,2022,4.42,1,6,90,240,13,Strategy
Cubitos,7.44,46.64,2021,2.19,2,4,30,60,10,Family
Biblios,7.2,18.12,2007,1.68,2,4,30,30,10,Family
Stockpile,7.47,34.02,2015,2.11,2,5,45,45,13,Strategy
Macao,7.41,179.95,2009,3.13,2,4,50,100,12,Strategy
Chess,7.2,15.99,1475,3.66,2,2,30,360,6,Abstract
Advanced Squad Leader,8.01,31.75,1985,4.74,2,2,120,480,14,Strategy
Fresco,7.25,119.99,2010,2.63,2,4,60,60,10,Family
Mythic Battles: Pantheon,8.34,34.78,2017,3.03,2,4,60,90,14,Strategy
ISS Vanguard,8.69,128.82,2022,3.65,1,4,90,120,13,Thematic
Wavelength,7.29,31.49,2019,1.12,2,12,30,45,14,Party
Claustrophobia,7.48,249.99,2009,2.48,2,2,45,45,14,Thematic
Dune,7.59,42.35,1979,3.44,2,6,60,180,12,Strategy
Mindbug: First Contact,7.76,21.16,2022,1.95,2,2,15,25,8,Family
Marvel United: X-Men,8.11,32.27,2021,2,1,5,40,40,14,Family
Thunderstone Quest,7.78,67.75,2018,2.84,2,4,60,90,14,Strategy
Mice and Mystics,7.24,63.99,2012,2.72,1,4,60,90,7,Thematic
The Manhattan Project,7.33,34.78,2012,2.96,2,5,120,120,13,Strategy
Flash Point: Fire Rescue,7.16,39.99,2011,2.2,2,6,45,45,10,Family
Millennium Blades,7.67,75.23,2016,3.66,2,5,80,120,12,Thematic
Kingsburg,7.18,48.24,2007,2.42,2,5,90,90,13,Family
Boonlake,7.69,54.99,2021,3.78,1,4,80,160,14,Strategy
Imperial Settlers: Empires of the North,7.45,35.95,2019,2.8,1,4,45,90,10,Strategy
Wayfarers of the South Tigris,7.86,51.77,2022,3.81,1,4,60,90,13,Strategy
Honey Buzz,7.61,37.84,2020,2.76,1,4,45,90,10,Family
Pandemic: Reign of Cthulhu,7.37,39.99,2016,2.16,2,4,40,40,14,Strategy
Glen More,7.3,32.51,2010,2.67,2,5,45,70,10,Strategy
Pipeline,7.62,52.94,2019,3.91,2,4,60,120,12,Strategy
Heroscape Master Set: Rise of the Valkyrie,7.45,130,2004,2.3,2,4,90,90,8,Abstract
Lord of the Rings: The Confrontation,7.48,26.45,2005,2.2,2,2,30,30,14,Strategy
Lancaster,7.39,43.86,2011,3,2,5,60,60,10,Strategy
Black Orchestra,7.51,35,2016,2.42,1,5,90,90,14,Thematic
A Few Acres of Snow,7.37,30.24,2011,3.04,2,2,60,90,14,Strategy
Mandala,7.54,28.2,2019,1.8,2,2,20,20,10,Abstract
PitchCar,7.26,83.22,1995,1.13,2,8,30,30,6,Family
Quadropolis,7.23,74.99,2016,2.2,2,4,30,60,8,Family
Dead Reckoning,8.23,83.22,2022,3.36,1,4,90,150,14,Strategy
Point Salad,7.17,15.99,2019,1.15,2,6,15,30,14,Family
Voidfall,8.66,449.99,2023,4.58,1,4,90,240,15,Strategy
IKI,7.68,54.99,2015,3.03,2,4,60,90,14,Strategy
Mystic Vale,7.26,31,2016,2.26,2,4,45,45,14,Strategy
Cartographers Heroes,7.79,17.46,2021,2.04,1,100,30,45,10,Family
Middara: Unintentional Malum - Act 1,8.63,242.17,2019,4.09,1,4,60,60,15,Thematic
Commands & Colors: Napoleonics,8.03,85.04,2010,2.74,2,2,90,90,14,Strategy
Age of Innovation,8.86,118.17,2023,4.27,1,5,40,200,14,Strategy
Descent: Legends of the Dark,7.95,90,2021,2.7,1,4,120,180,14,Thematic
Amerigo,7.44,45.38,2013,2.98,2,4,90,90,10,Strategy
Stuffed Fables,7.46,46.49,2018,2.45,2,4,60,90,7,Family
Pan Am,7.55,28.08,2020,2.41,2,4,60,60,12,Strategy
Colt Express,7.09,25.49,2014,1.83,2,6,40,40,10,Family
Hadara,7.41,45.97,2019,2.2,2,5,45,60,10,Strategy
Fire in the Lake,8.06,71.02,2014,4.12,1,4,180,180,14,Strategy
Citadels,7.26,74.99,2016,2.04,2,8,30,60,10,Family
Amun-Re,7.29,49.92,2003,3.03,3,5,90,90,12,Strategy
The Witcher: Old World,8.1,85.96,2023,2.83,1,5,90,150,14,Thematic
BattleLore,7.35,64.33,2006,2.77,2,2,60,60,10,Thematic
Pandemic: The Cure,7.25,44.85,2014,2.06,2,5,30,30,8,Family
"Air, Land, & Sea",7.46,13.59,2019,1.73,2,2,15,30,14,Strategy
Dawn of the Zeds (Third Edition),8.17,91.96,2016,3.82,1,5,90,120,14,Thematic
No Thanks!,7.08,9.99,2004,1.13,3,7,20,20,8,Family
Charterstone,7.23,51.91,2017,2.84,1,6,45,75,14,Strategy
Exit: The Game - Dead Man on the Orient Express,7.58,14.1,2017,2.73,1,4,60,120,12,Family
Citadels,7.07,24.13,2000,2.05,2,8,20,60,10,Family
Risk Legacy,7.37,68.84,2011,2.59,3,5,60,60,13,Strategy
Deus,7.29,28.9,2014,2.83,2,4,60,90,14,Strategy
Foundations of Rome,8.02,350,2022,1.98,2,4,60,90,13,Strategy
Sheriff of Nottingham,7.08,154.79,2014,1.66,3,5,60,60,14,Family
Zombie Kidz Evolution,7.65,19.64,2018,1.4,2,4,5,15,7,Family
Lords of Vegas,7.35,99.99,2010,2.34,2,4,60,90,12,Strategy
