Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
Clank!: A Deck-Building Adventure,7.79,59.99,2016,2.22,2,4,30,60,12,Family
Fields of Arle,8.04,68.8,2014,3.86,1,2,60,120,13,Strategy
Teotihuacan: City of Gods,7.88,49.95,2018,3.78,1,4,90,120,14,Strategy
Through the Ages: A Story of Civilization,7.85,99.99,2006,4.18,2,4,120,120,12,Strategy
Beyond the Sun,7.95,44.49,2020,3.14,2,4,60,120,14,Strategy
Lords of Waterdeep,7.73,34.99,2012,2.45,2,5,60,120,12,Strategy
Dominant Species,7.82,72.98,2010,4.04,2,6,120,240,14,Strategy
The Voyages of Marco Polo,7.79,99.99,2015,3.18,2,4,40,100,12,Strategy
Robinson Crusoe: Adventures on the Cursed Island,7.76,50.95,2012,3.81,1,4,60,120,14,Thematic
7 Wonders,7.69,39.99,2010,2.32,2,7,30,30,10,Family
The Search for Planet X,7.98,39.89,2020,2.38,1,4,60,75,13,Strategy
Tainted Grail: The Fall of Avalon,8.11,122.57,2019,3.34,1,4,60,120,14,Thematic
El Grande,7.73,43.08,1995,3.03,2,5,60,120,12,Strategy
Architects of the West Kingdom,7.75,53.56,2018,2.75,1,5,60,80,12,Strategy
The 7th Continent,7.85,69,2017,2.9,1,4,5,1000,14,Thematic
Battlestar Galactica: The Board Game,7.73,52.91,2008,3.25,3,6,120,180,14,Thematic
Decrypto,7.77,24.99,2018,1.81,3,8,15,45,12,Party
Inis,7.82,72.79,2016,2.89,2,4,60,90,14,Strategy
Keyflower,7.73,75.08,2012,3.34,2,6,90,120,12,Strategy
Raiders of the North Sea,7.75,47.94,2015,2.55,2,4,60,80,12,Strategy
Trickerion: Legends of Illusion,7.97,70,2015,4.25,2,4,60,180,14,Strategy
Caylus,7.72,124.99,2005,3.8,2,5,60,150,12,Strategy
Tigris & Euphrates,7.71,52.91,1997,3.5,2,4,90,90,12,Strategy
Dominion: Intrigue,7.69,33.68,2009,2.41,2,6,30,30,13,Strategy
Mombasa,7.85,34.76,2015,3.9,2,4,75,150,12,Strategy
Lorenzo il Magnifico,7.85,49.95,2016,3.29,2,4,60,120,12,Abstract
Troyes,7.72,49.99,2010,3.46,1,4,90,90,12,Strategy
Eldritch Horror,7.76,53.79,2013,3.32,1,8,120,240,14,Thematic
The Lord of the Rings: Journeys in Middle-Earth,7.93,101.31,2019,2.65,1,5,60,120,14,Thematic
